params,ISP,Impulse,BurnTime,MaxPressure,Success,Alerts
"{'grains.0.properties.length': 0.15, 'grains.1.properties.coreDiameter': 0.05}",155.60968216207038,4579.881278684093,9.659999999999986,2607116.300558947,True,0
"{'grains.0.properties.length': 0.15, 'grains.1.properties.coreDiameter': 0.060000000000000005}",153.52089985796135,4093.613409888193,10.049999999999978,2321137.420500886,True,0
"{'grains.0.properties.length': 0.15, 'grains.1.properties.coreDiameter': 0.07}",150.52862576865445,3663.3991017305316,10.649999999999965,2090187.242866952,True,1
"{'grains.0.properties.length': 0.2, 'grains.1.properties.coreDiameter': 0.05}",159.86171676466083,5466.877885735675,8.430000000000012,2868993.0710057304,True,0
"{'grains.0.properties.length': 0.2, 'grains.1.properties.coreDiameter': 0.060000000000000005}",158.49595717421204,4981.615183704748,8.730000000000006,2571984.726463979,True,0
"{'grains.0.properties.length': 0.2, 'grains.1.properties.coreDiameter': 0.07}",156.63354643574314,4558.4407961799925,9.149999999999997,2331504.819654064,True,1
"{'grains.0.properties.length': 0.25, 'grains.1.properties.coreDiameter': 0.05}",162.5891834146403,6335.0001529212395,7.5900000000000185,3140337.9963391074,True,0
"{'grains.0.properties.length': 0.25, 'grains.1.properties.coreDiameter': 0.060000000000000005}",161.52243753632817,5846.504957538114,7.8300000000000205,2832547.759461576,True,0
"{'grains.0.properties.length': 0.25, 'grains.1.properties.coreDiameter': 0.07}",160.36266791957553,5431.206591736493,8.160000000000018,2582766.0456353887,True,1
